m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
2.84375,48.4375,59.6875,1000,2.46875,82.1875,59.6875,1000,80,2.53125,1598.1667465,911439765.277,3298.91748853,10.1426522104,157.568919189,1086.5255856,187.5,1,187.5,812.5,Viga
3.84375,78.4375,89.6875,1000,3.46875,52.1875,89.6875,1000,80,3.53125,4919.43993586,986172543.908,10335.0525863,17.4894150863,281.280986904,860.6606082,132.1875,1,0,1000,Cartela
2.21875,82.1875,70.9375,1000,2.34375,85.9375,70.9375,1000,80,3.40625,1857.29329683,1038441729.87,5484.23492862,11.1654125853,166.343454184,1002.1603675,187.5,1,187.5,812.5,Viga
3.21875,52.1875,40.9375,1000,3.34375,55.9375,40.9375,1000,80,2.40625,1756.88436836,408551234.428,4510.08689672,9.32376038699,188.430879328,1080.513267,135.9375,1,0,1000,Cartela
2.71875,67.1875,85.9375,1000,2.84375,40.9375,85.9375,1000,80,2.90625,2373.32257045,862165526.662,5305.63842141,12.0826125039,196.424620063,1321.3279697,120.9375,1,0,1000,Cartela
3.71875,97.1875,55.9375,1000,3.84375,70.9375,55.9375,1000,80,3.90625,4941.98146952,983206974.784,11307.3380455,16.088968615,307.165834417,1107.5061751,150.9375,1,0,1000,Cartela
2.46875,44.6875,48.4375,1000,3.59375,48.4375,48.4375,1000,80,3.15625,1078.86758214,824584251.306,2259.63118329,8.77290223156,122.977271792,818.6008295,158.823529412,1,158.823529412,841.176470588,Viga
3.46875,74.6875,78.4375,1000,2.59375,78.4375,78.4375,1000,80,2.15625,4018.72518934,1175719025.21,8695.67985325,14.3970371488,279.135571285,1351.5350753,201.923076923,1,201.923076923,798.076923077,Viga
2.96875,89.6875,63.4375,1000,3.09375,93.4375,63.4375,1000,80,2.65625,3714.16024994,1242572461.06,8780.61845968,14.4628152361,256.807557126,1505.1616187,216.346153846,1,216.346153846,783.653846154,Viga
3.96875,59.6875,93.4375,1000,2.09375,63.4375,93.4375,1000,80,3.65625,3866.39396326,897864706.366,8255.74212699,14.5529857379,265.677025519,918.0425612,163.461538462,1,163.461538462,836.538461538,Viga
2.015625,79.84375,98.59375,1000,3.046875,62.96875,98.59375,1000,80,2.390625,1536.97533017,763483432.405,5020.18599014,13.285566991,115.687597768,1233.9379398,142.9688,1,0,1000,Cartela
3.015625,49.84375,68.59375,1000,2.046875,92.96875,68.59375,1000,80,3.390625,1919.62918746,973553713.875,3965.00343684,10.7592402474,178.416797406,932.9415214,198.275862069,1,198.275862069,801.724137931,Viga
2.515625,64.84375,83.59375,1000,3.546875,77.96875,83.59375,1000,80,3.890625,1872.63953431,1121967333.09,5131.83086209,14.7499339021,126.959181427,1140.7754713,173.076923077,1,173.076923077,826.923076923,Viga
3.515625,94.84375,53.59375,1000,2.546875,47.96875,53.59375,1000,80,2.890625,2997.2837493,1012999504.93,7464.60621507,11.9451588844,250.920375216,1183.0109386,127.9688,1,0,1000,Cartela
2.265625,42.34375,61.09375,1000,2.796875,70.46875,61.09375,1000,80,2.140625,946.864600312,920334008.264,2139.2881994,9.27324084006,102.107193876,1092.4593044,166.666666667,1,166.666666667,833.333333333,Viga
3.265625,72.34375,91.09375,1000,3.796875,40.46875,91.09375,1000,80,3.140625,3320.63870194,900774808.856,7164.8994073,15.8463906459,209.551738067,830.6557763,120.4688,1,0,1000,Cartela
2.765625,87.34375,46.09375,1000,2.296875,55.46875,46.09375,1000,80,3.640625,0,0,6696.91971822,9.38244892999,0,977.9632761,34.093775,0,0,1000,Cartela
3.765625,57.34375,76.09375,1000,3.296875,85.46875,76.09375,1000,80,2.640625,3228.06092441,857950993.845,6878.02282441,15.7760853371,204.617359467,1219.0068159,195.454545455,1,195.454545455,804.545454545,Viga
