m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3.84375,78.4375,89.6875,1000,3.46875,52.1875,89.6875,1000,114.53125,3.53125,5258.57667845,1190870602.56,11215.9906685,17.7970296697,295.474962736,1273.0922411,182.692307692,1,182.692307692,817.307692308,Viga
2.21875,82.1875,70.9375,1000,2.34375,85.9375,70.9375,1000,80.15625,3.40625,1875.31552582,1073176992.24,5484.25178088,11.1665004883,167.941203046,1032.1148759,182.692307692,1,182.692307692,817.307692308,Viga
3.21875,52.1875,40.9375,1000,3.34375,55.9375,40.9375,1000,105.15625,2.40625,1830.43128735,421289503.086,4734.10908938,9.43925003505,193.917025246,830.4003588,161.0937,1,0,1000,Cartela
2.71875,67.1875,85.9375,1000,2.84375,40.9375,85.9375,1000,92.65625,2.90625,2336.70034225,1211982620.23,5616.49239952,12.1675553197,192.043535521,1333.5565436,137.931034483,1,137.931034483,862.068965517,Viga
3.71875,97.1875,55.9375,1000,3.84375,70.9375,55.9375,1000,117.65625,3.90625,6361.69979284,1177096062.16,13460.6309039,16.4085414563,387.706598408,1724.5777432,224.137931034,1,224.137931034,775.862068966,Viga
2.46875,44.6875,48.4375,1000,3.59375,48.4375,48.4375,1000,86.40625,3.15625,1085.445966,853699555.526,2265.18307793,8.81018695595,123.203511053,869.8261348,164.705882353,1,164.705882353,835.294117647,Viga
3.46875,74.6875,78.4375,1000,2.59375,78.4375,78.4375,1000,111.40625,2.15625,4105.75554774,1135803038.05,8976.61045085,14.5577536509,282.032217757,1532.2391366,225.961538462,1,225.961538462,774.038461538,Viga
2.96875,89.6875,63.4375,1000,3.09375,93.4375,63.4375,1000,73.90625,2.65625,3684.59959109,1191370858.99,8719.13975264,14.4318601348,255.310095628,1800.2311699,201.923076923,1,201.923076923,798.076923077,Viga
3.96875,59.6875,93.4375,1000,2.09375,63.4375,93.4375,1000,98.90625,3.65625,3910.65459594,959943436.988,8271.36721385,14.7217690707,265.637545131,1170.7447026,187.5,1,187.5,812.5,Viga
2.015625,79.84375,98.59375,1000,3.046875,62.96875,98.59375,1000,112.578125,2.390625,1618.25249771,963697982.898,5959.64699473,13.4885475858,119.972331151,1414.7849397,192.708333333,1,192.708333333,807.291666667,Viga
3.015625,49.84375,68.59375,1000,2.046875,92.96875,68.59375,1000,87.578125,3.390625,1934.56731081,951840867.585,4004.90138973,10.8126069969,178.917749564,1107.3464766,202.586206897,1,202.586206897,797.413793103,Viga
2.515625,64.84375,83.59375,1000,3.546875,77.96875,83.59375,1000,100.078125,3.890625,1925.88045107,1151170352.41,5286.66633366,14.9328528061,128.969358774,1393.7393466,201.923076923,1,201.923076923,798.076923077,Viga
3.515625,94.84375,53.59375,1000,2.546875,47.96875,53.59375,1000,75.078125,2.890625,2843.60412043,996180728.044,7070.15126848,11.9193742985,238.569915603,1309.361881,123.0469,1,0,1000,Cartela
2.265625,42.34375,61.09375,1000,2.796875,70.46875,61.09375,1000,106.328125,2.140625,967.596502327,970281808.778,2164.2218012,9.39389827124,103.002659214,1032.1797208,195.652173913,1,195.652173913,804.347826087,Viga
3.265625,72.34375,91.09375,1000,3.796875,40.46875,91.09375,1000,81.328125,3.140625,3387.22899481,874180794.626,7338.91127453,15.8558910462,213.625899985,806.6183909,121.7969,1,0,1000,Cartela
